Variable,Tipus_Dada
id,object
assistencia_prac,float64
p1_q_total,float64
p1_pdf_total,float64
p1_final,float64
total_p1,float64
p2_final,float64
total_p2,float64
p3_final,float64
total_p3,float64
p4_q_total,float64
p4_pdf_total,float64
p4_final,float64
total_p4,float64
p5_final,float64
total_p5,float64
p6_final,float64
total_p6,float64
p7_final,float64
total_p7,float64
p_global,float64
total_practiques,float64
assistencia_sem,float64
s1_final,float64
total_s1,float64
s2_final,float64
total_s2,float64
s3_final,float64
total_s3,float64
s4_final,float64
total_s4,float64
s5_final,float64
total_s5,float64
s6_final,float64
total_s6,float64
s_global,float64
total_seminaris,float64
ex_final,float64
ex_recup,float64
total_examen,float64
s1_no_aval,float64
repas_b1,int64
repas_b2,int64
repas_b3,int64
repas_b4,int64
total_quizzes,float64
total_assistencia,float64
nota_final,float64
s3_opt,int64
repas_b0,int64
q9,float64
q1,float64
q2,float64
q3,float64
q4,float64
q7,float64
q10,float64
q11,float64
q12,float64
q13,float64
q14,float64
qTotal,float64
q5,float64
q8,float64
q6,float64
q14_extra,float64
mitjana_tot,float64
num_opts,int64
target,int64
total_examen,float64
