Variable,Tipus_Dada
id,object
AM,int64
PM,int64
hLectiu,int64
latePM,int64
total_visites,int64
CapDeSetmana,int64
Laborable,int64
total_clics,int64
Altre_Mòdul de curs vist,int64
Altre_S'ha mostrat el debat,int64
Archive: 21-22_Mòdul de curs vist,int64
Archive: 21-22_S'ha descarregat l'arxiu Zip o la carpeta,int64
Archive: 22-23_Mòdul de curs vist,int64
Archive: 22-23_S'ha descarregat l'arxiu Zip o la carpeta,int64
Archive: 23-24_Mòdul de curs vist,int64
Archive: 23-24_S'ha descarregat l'arxiu Zip o la carpeta,int64
Attendance: Practices_S'ha visualitzat l'informe de la sessió,int64
Attendance: Seminars_S'ha visualitzat l'informe de la sessió,int64
Carpeta: Apunts Tema 1 - Dinàmica_Mòdul de curs vist,int64
Carpeta: Apunts Tema 1 - Dinàmica_S'ha descarregat l'arxiu Zip o la carpeta,int64
Carpeta: Material addicional Tema 11_Mòdul de curs vist,int64
Carpeta: Material addicional Tema 11_S'ha descarregat l'arxiu Zip o la carpeta,int64
Course Information_Mòdul de curs vist,int64
Course Root_Activitat recent vista,int64
Course Root_Curs vist,int64
Course Root_Informe d'usuari del curs vist,int64
Course Root_Llista d'instàncies de mòduls de curs vistos,int64
Course Root_Perfil de l'usuari mostrat,int64
Course Root_S'ha actualitzat l'element de qualificació,int64
Course Root_S'ha afegit el membre del grup,int64
Course Root_S'ha suprimit el membre del grup,int64
Course Root_S'ha visualitzat Open Grader,int64
Course Root_S'ha visualitzat l'informe d'usuari de qualificacions,int64
Course Root_S'ha visualitzat l'informe de resum de qualificacions,int64
Course Root_Section viewed,int64
Course Root_Usuari qualificat,int64
Curs: Fonaments de Física 2024-24290-T2_Curs vist,int64
Curs: Fonaments de Física 2024-24290-T2_Informe d'usuari del curs vist,int64
Curs: Fonaments de Física 2024-24290-T2_Llista d'instàncies de mòduls de curs vistos,int64
Curs: Fonaments de Física 2024-24290-T2_Perfil de l'usuari mostrat,int64
Curs: Fonaments de Física 2024-24290-T2_S'ha visualitzat l'informe d'usuari de qualificacions,int64
Curs: Fonaments de Física 2024-24290-T2_Section viewed,int64
Curs: Fonaments de Física 2024-24290-T2_Usuari qualificat,int64
Elecció de grup: Assistència sortida Cosmo Caixa_Mòdul de curs vist,int64
Elecció de grup: Assistència sortida Cosmo Caixa_S'ha creat l'elecció,int64
Elecció de grup: Assistència sortida Cosmo Caixa_S'ha esborrat l'elecció,int64
Exam: Final Solved_Mòdul de curs vist,int64
Exam: Optical Sheet Instr_Mòdul de curs vist,int64
Exam: Recovery Solved_Mòdul de curs vist,int64
Exercicis Sessió 10_Mòdul de curs vist,int64
Exercicis Sessió 10_Quiz attempt auto-saved,int64
Exercicis Sessió 10_Quiz attempt question restarted,int64
Exercicis Sessió 10_Quiz attempt updated,int64
Exercicis Sessió 10_S'ha començat l'intent del qüestionari,int64
Exercicis Sessió 10_S'ha mostrat el resum de l'intent del qüestionari,int64
Exercicis Sessió 10_S'ha revisat l'intent del qüestionari,int64
Exercicis Sessió 10_S'ha tramès l'intent del qüestionari,int64
Exercicis Sessió 10_S'han mostrat l'intent del qüestionari,int64
Exercicis Sessió 11_Mòdul de curs vist,int64
Exercicis Sessió 11_Quiz attempt auto-saved,int64
Exercicis Sessió 11_Quiz attempt question restarted,int64
Exercicis Sessió 11_Quiz attempt updated,int64
Exercicis Sessió 11_S'ha començat l'intent del qüestionari,int64
Exercicis Sessió 11_S'ha mostrat el resum de l'intent del qüestionari,int64
Exercicis Sessió 11_S'ha revisat l'intent del qüestionari,int64
Exercicis Sessió 11_S'ha tramès l'intent del qüestionari,int64
Exercicis Sessió 11_S'han mostrat l'intent del qüestionari,int64
Exercicis Sessió 12_Mòdul de curs vist,int64
Exercicis Sessió 12_Quiz attempt auto-saved,int64
Exercicis Sessió 12_Quiz attempt question restarted,int64
Exercicis Sessió 12_Quiz attempt updated,int64
Exercicis Sessió 12_S'ha començat l'intent del qüestionari,int64
